,machine,compiler,repetition,query,engine,threads,query_label,time,task-clock,context-switches,cpu-migrations,page-faults,cycles,instructions,branches,branch-misses,L1-dcache-loads,L1-dcache-load-misses,LLC-loads,LLC-load-misses,L1-icache-loads,L1-icache-load-misses,dTLB-loads,dTLB-load-misses,iTLB-loads,iTLB-load-misses,L1-dcache-prefetches,L1-dcache-prefetch-misses
4960,burrata,clang,0,9,vectorwise,104,q9 vectorwise,742.281,418129.35,329708.0,633.0,1424425.0,1205010474361.0,384476691569.0,,1919334665.0,133610558736.0,8907649963.0,,,144250438227.0,77795036.0,200154994420.0,6179887247.0,114822849605.0,447538.0,,
4961,burrata,clang,0,9,hyper,104,q9 hyper,1591.472,936932.94,288138.0,120.0,1376517.0,2741940861721.0,1522172642215.0,,1417187708.0,413492674189.0,8092728174.0,,,419216051585.0,110137827.0,444360324240.0,5764907295.0,258695013007.0,506662.0,,
4962,burrata,gcc,0,9,vectorwise,104,q9 vectorwise,784.646,418333.92,258828.0,634.0,1425124.0,1203147845687.0,441557298000.0,,2271855134.0,122927332692.0,8833346946.0,,,168602743449.0,68745107.0,175937270448.0,6237770276.0,161366488905.0,424395.0,,
4963,burrata,gcc,0,9,hyper,104,q9 hyper,839.612,465600.24,249879.0,114.0,1379051.0,1336836644807.0,314359518926.0,,1481555293.0,111282646650.0,7970771734.0,,,116376479004.0,80269396.0,177435042098.0,5726038461.0,102607374486.0,526916.0,,
4968,burrata,clang,1,9,vectorwise,104,q9 vectorwise,742.375,415135.66,288180.0,643.0,1423444.0,1196128166705.0,386135326857.0,,1907437461.0,132948897994.0,8901788478.0,,,143511925789.0,78168098.0,199409110461.0,6169979170.0,114732187561.0,425031.0,,
4969,burrata,clang,1,9,hyper,104,q9 hyper,1615.429,935716.43,187195.0,165.0,1375468.0,2738958783713.0,1481293035842.0,,1409340176.0,405812897214.0,8095698896.0,,,404322637593.0,106502440.0,438024824433.0,5758272920.0,247989918252.0,496555.0,,
4970,burrata,gcc,1,9,vectorwise,104,q9 vectorwise,731.282,409047.42,139824.0,625.0,1424409.0,1176333638265.0,389358733068.0,,2285876171.0,114858574961.0,8867950097.0,,,153404673266.0,65795370.0,167621910337.0,6271124671.0,144071680881.0,398756.0,,
4971,burrata,gcc,1,9,hyper,104,q9 hyper,869.868,464646.83,144972.0,135.0,1376045.0,1332168022471.0,304822465079.0,,1474676650.0,108688682686.0,8009293127.0,,,110635923919.0,76982157.0,175775383474.0,5711537607.0,98311548329.0,567309.0,,
4972,burrata,clang,0,9,hyper,105,q9 hyper,1594.925,943404.06,359201.0,160.0,1367130.0,2754968343716.0,1523108554276.0,,1423992395.0,414063380978.0,8104571083.0,,,419264887072.0,117032263.0,445093831254.0,5765295023.0,258845279915.0,498448.0,,
4973,burrata,clang,0,9,vectorwise,105,q9 vectorwise,738.948,421368.88,290674.0,646.0,1424383.0,1211586860463.0,392799614023.0,,1928410280.0,134786565535.0,8930294772.0,,,145040828620.0,86644640.0,200014080927.0,6167306179.0,116747960780.0,451071.0,,
