machine,compiler,repetition,query,engine,threads,query_label,time,task-clock,context-switches,cpu-migrations,page-faults,cycles,instructions,branches,branch-misses,L1-dcache-loads,L1-dcache-load-misses,LLC-loads,LLC-load-misses,L1-icache-loads,L1-icache-load-misses,dTLB-loads,dTLB-load-misses,iTLB-loads,iTLB-load-misses,L1-dcache-prefetches,L1-dcache-prefetch-misses
burrata,clang,0,1,vectorwise,120,q1 vectorwise,187.479,139224.91,302092.0,759.0,380255.0,393731767431.0,641812578560.0,,98388820.0,228078203827.0,2115162436.0,,,167903359860.0,30783453.0,253613683780.0,67468904.0,120524247834.0,304205.0,,
burrata,gcc,0,1,hyper,120,q1 hyper,157.33,104583.2,244672.0,111.0,356574.0,289918090796.0,433323029996.0,,69760559.0,166245148242.0,882548140.0,,,119938515593.0,23834336.0,168970480100.0,64470900.0,81785080432.0,222548.0,,
burrata,gcc,0,1,vectorwise,120,q1 vectorwise,232.559,142976.09,325028.0,757.0,379920.0,397753180225.0,734161997118.0,,88908282.0,245999679209.0,1920131698.0,,,204708466378.0,30579315.0,267612328689.0,67954066.0,165407984660.0,291213.0,,
burrata,gcc,0,1,vectorwise,128,q1 vectorwise,187.648,147031.35,151477.0,819.0,382134.0,409346686745.0,677619861853.0,,89148496.0,240489281471.0,2046341370.0,,,184547243367.0,30220302.0,264680629959.0,69961567.0,142505099499.0,281608.0,,
burrata,gcc,0,1,hyper,128,q1 hyper,159.064,113381.69,266308.0,81.0,357798.0,314190970952.0,404631910645.0,,85042424.0,161848552684.0,893735390.0,,,108650646423.0,25050036.0,167549641566.0,65349740.0,77688567644.0,234039.0,,
burrata,clang,0,1,vectorwise,128,q1 vectorwise,202.522,164262.79,243825.0,815.0,381502.0,461614231309.0,806311848880.0,,96945177.0,253373195112.0,2150074280.0,,,210001801836.0,33367633.0,283964518753.0,69485595.0,151258136244.0,297278.0,,
burrata,clang,0,1,hyper,128,q1 hyper,401.047,284036.95,119753.0,80.0,357740.0,825284945857.0,1112030781975.0,,67299495.0,386692672952.0,1079830379.0,,,278690819195.0,39115078.0,387236503835.0,73903515.0,168859183825.0,214254.0,,
burrata,gcc,0,3,vectorwise,1,q3 vectorwise,11160.515,68144.46,6902.0,1.0,785205.0,204081271317.0,185980015983.0,,400192181.0,58382102304.0,1973058768.0,,,57416737212.0,9821876.0,67577607370.0,1402209763.0,53432552061.0,11459.0,,
burrata,gcc,0,3,hyper,1,q3 hyper,16125.307,97945.85,10129.0,4.0,781893.0,293355733618.0,127155734928.0,,1424420043.0,51271836922.0,1503485949.0,,,60227837409.0,11804137.0,63173000721.0,1212790282.0,54085143384.0,8283.0,,
burrata,clang,0,3,vectorwise,1,q3 vectorwise,11174.688,68277.75,7037.0,0.0,786485.0,204471251103.0,164255359318.0,,387975545.0,60702105956.0,2000142952.0,,,50865354552.0,15851382.0,71123942635.0,1401687558.0,36219176075.0,17039.0,,
burrata,clang,0,3,hyper,1,,,,,,,,,,,,,,,,,,,,,,
burrata,clang,0,3,hyper,16,q3 hyper,2125.959,201426.74,25083.0,3.0,773362.0,600417125416.0,432973330505.0,,1293158247.0,131295695312.0,1572257845.0,,,135949278466.0,21722902.0,139818353828.0,1233239821.0,94138189938.0,44138.0,,
