machine,compiler,repetition,query,engine,threads,query_label,time_seconds,task-clock,context-switches,cpu-migrations,page-faults,cycles,instructions,branches,branch-misses,L1-dcache-loads,L1-dcache-load-misses,LLC-loads,LLC-load-misses,L1-icache-loads,L1-icache-load-misses,dTLB-loads,dTLB-load-misses,iTLB-loads,iTLB-load-misses,L1-dcache-prefetches,L1-dcache-prefetch-misses
dubliner,gcc,0,1,vectorwise,60,q1 vectorwise,558.096,128060.95,6299.0,380.0,374960.0,309266368537.0,376073310992.0,45660978658.0,104262193.0,141141946265.0,7806772958.0,131655605.0,97000260.0,,46159482.0,141475990226.0,10658767.0,521948.0,1859760.0,,
dubliner,gcc,0,1,hyper,63,q1 hyper,284.803,84555.2,4408.0,125.0,355505.0,219783731125.0,289045272925.0,35258684911.0,65240936.0,141735174416.0,2403489279.0,56882796.0,43380150.0,,23736057.0,142052196814.0,16910314.0,379909.0,3026710.0,,
dubliner,gcc,0,1,vectorwise,63,q1 vectorwise,353.067,141133.27,8115.0,439.0,374678.0,351855038872.0,399835258587.0,52165691813.0,105748561.0,145939437606.0,7542547743.0,93068131.0,61713780.0,,39837915.0,148595061440.0,9772829.0,608827.0,8338208.0,,
dubliner,gcc,0,1,hyper,66,q1 hyper,542.676,95380.72,5394.0,96.0,355172.0,224689033928.0,323837957216.0,43610659818.0,73124252.0,150925606346.0,2449197193.0,86178828.0,70601391.0,,29524135.0,151750729160.0,16689736.0,577830.0,18874183.0,,
dubliner,gcc,0,1,vectorwise,66,q1 vectorwise,360.488,123056.28,7174.0,425.0,374900.0,298352476011.0,376607493963.0,45455197848.0,102893298.0,142019192985.0,7898337447.0,84943726.0,56143238.0,,49151788.0,141655496800.0,10156750.0,460169.0,1243672.0,,
dubliner,gcc,0,1,hyper,68,q1 hyper,276.683,89068.43,5183.0,62.0,354357.0,228789202550.0,280595464242.0,33616785348.0,64495192.0,138170660747.0,2364910556.0,61614670.0,46802240.0,,26613733.0,139048465986.0,16421757.0,288223.0,5583254.0,,
dubliner,gcc,0,1,vectorwise,68,q1 vectorwise,430.915,127716.14,9017.0,440.0,383322.0,306387821883.0,379392917289.0,45876092916.0,107093158.0,143146722510.0,7900057478.0,92473822.0,61980318.0,,47855470.0,139393019660.0,11250166.0,1075653.0,2100212.0,,
dubliner,gcc,0,1,vectorwise,71,q1 vectorwise,320.599,126476.15,15272.0,484.0,373957.0,306206833277.0,379666955013.0,45676994972.0,102890664.0,141517717911.0,7742233181.0,87716413.0,56380451.0,,46323349.0,141866036092.0,9271141.0,572455.0,1102717.0,,
dubliner,gcc,0,1,hyper,71,q1 hyper,287.753,94784.34,6628.0,113.0,355395.0,238179532309.0,282831149076.0,34084616632.0,63871648.0,139595187512.0,2378096491.0,60488205.0,46669605.0,,28939907.0,140078735329.0,16978648.0,368038.0,3043619.0,,
dubliner,gcc,0,1,vectorwise,74,q1 vectorwise,371.664,138337.95,9377.0,495.0,381880.0,327834439573.0,372949484990.0,45339853849.0,106394465.0,140306568065.0,7771887992.0,99969273.0,61740743.0,,48780290.0,140590979053.0,10690604.0,707458.0,1610909.0,,
dubliner,gcc,0,1,hyper,74,q1 hyper,282.34,96581.0,5776.0,91.0,354957.0,254019130106.0,280863438401.0,33477836721.0,62722916.0,138822255199.0,2398743618.0,66305966.0,53381109.0,,27742616.0,140863938384.0,20625035.0,195917.0,1836246.0,,
dubliner,gcc,0,1,hyper,77,q1 hyper,329.134,103786.02,6988.0,121.0,356632.0,259149884178.0,302272756411.0,39264968230.0,71649808.0,144944109899.0,2374020110.0,64339196.0,49323390.0,,30527475.0,145795981710.0,16631808.0,644389.0,20032086.0,,
dubliner,gcc,0,1,vectorwise,77,q1 vectorwise,414.414,146890.48,8090.0,500.0,382306.0,354911131818.0,386258448636.0,46882335682.0,108695119.0,143537707154.0,7926140045.0,111239238.0,72112001.0,,50267265.0,142196030177.0,10327373.0,781301.0,2532277.0,,
dubliner,gcc,0,1,hyper,79,q1 hyper,489.175,116534.04,7913.0,142.0,358816.0,288452410866.0,354218339443.0,51927086037.0,87795118.0,158066960366.0,2380490425.0,93473460.0,74398689.0,,33505553.0,160541105522.0,16797225.0,984829.0,28036099.0,,
dubliner,gcc,0,1,vectorwise,79,q1 vectorwise,479.24,155461.8,15685.0,541.0,383000.0,372892930071.0,384415376757.0,46880937083.0,108416433.0,143810213308.0,7960054911.0,127756976.0,88035352.0,,56761785.0,142966862706.0,11140347.0,925704.0,1900077.0,,
dubliner,gcc,0,1,vectorwise,82,q1 vectorwise,518.984,150340.38,10423.0,549.0,384169.0,359325696173.0,386005984665.0,47419265399.0,110228490.0,143051225255.0,7872944862.0,117180445.0,76349720.0,,54404606.0,143239149175.0,10419995.0,1101753.0,3690484.0,,
dubliner,gcc,0,1,hyper,82,q1 hyper,367.278,106406.4,6745.0,149.0,356801.0,246938234619.0,296830328034.0,37784766373.0,70222586.0,143428279333.0,2418788398.0,73625629.0,55881331.0,,30551499.0,144202352547.0,17033403.0,494729.0,7246472.0,,
dubliner,gcc,0,1,hyper,85,q1 hyper,380.919,115120.99,7606.0,156.0,357357.0,272088711968.0,311290242099.0,41008571467.0,78893541.0,148202999758.0,2399130540.0,74268095.0,58240948.0,,32195777.0,148000519782.0,17600176.0,1511738.0,11169677.0,,
dubliner,gcc,0,1,vectorwise,85,q1 vectorwise,384.354,185102.33,10853.0,588.0,391024.0,461934442403.0,450404826066.0,66213782978.0,127674088.0,158912178351.0,7339091390.0,144775325.0,103610061.0,,56249759.0,159495230334.0,11591263.0,1091466.0,26602355.0,,
dubliner,gcc,0,1,hyper,88,q1 hyper,1039.74,155661.82,11503.0,289.0,362049.0,380549189418.0,526102962854.0,91503135457.0,133513391.0,206139199719.0,2559144581.0,179352164.0,156533506.0,,45301948.0,208061171313.0,19165335.0,2002881.0,60971306.0,,
dubliner,gcc,0,1,vectorwise,88,q1 vectorwise,806.106,191410.62,47938.0,577.0,416068.0,352675853651.0,371783238894.0,46275022786.0,121781351.0,138684110703.0,7704244750.0,199574251.0,144445623.0,,179443839.0,139329875646.0,13313842.0,3949656.0,6724337.0,,
dubliner,gcc,0,1,vectorwise,90,q1 vectorwise,516.908,162268.13,10394.0,612.0,389345.0,375529395259.0,383533077631.0,46876363260.0,110065126.0,143701476991.0,7988942824.0,144055348.0,106997943.0,,60563544.0,141006939436.0,11878870.0,955024.0,2697928.0,,
